Año_Mes;Alimentos Y Bebidas No Alcohólicas;Bebidas Alcohólicas, Tabaco Y Narcóticos;Ropa Y Calzado;Vivienda, Agua, Electricidad, Gas Y Otros Combustibles;Mobiliario, Enseres Domésticos Y Demás Artículos Regulares De Los Hogares;Salud;Transporte;Información Y Comunicación;Recreación, Deporte Y Cultura;Servicios De Educación;Restaurantes Y Servicios De Alojamiento;Seguros Y Servicios Financieros;Cuidado Personal, Protección Social Y Bienes Diversos;IPC
dic.-18;67.1846;72.4293;82.308;73.8308;71.1405;70.3765;73.3502;80.6544;69.9083;74.0318;72.1812;69.2882;74.4787;71.48
ene.-19;68.0214;74.6992;81.5097;78.5768;71.3365;71.3779;74.3611;83.7727;72.6677;74.3139;73.0022;71.1299;75.1941;73.02
feb.-19;69.1916;76.2844;81.3518;78.8152;71.4262;72.5642;74.3869;83.6833;73.0235;77.7716;73.5876;71.2221;75.8923;73.74
mar.-19;69.4587;76.5618;81.4701;79.0204;71.7558;72.9257;75.1197;83.8784;73.3764;78.5828;74.0427;72.2119;76.4697;74.15
abr.-19;69.0506;76.6654;82.2622;79.2635;75.5277;73.5658;75.9386;84.0666;73.1324;78.6059;74.4395;72.3693;76.6336;74.46
may.-19;69.5;76.7117;82.9092;79.5935;73.7976;73.8304;76.6205;84.4024;73.4101;78.6825;75.0349;72.882;76.8517;74.76
jun.-19;70.5481;76.8973;82.765;79.8111;73.9123;74.1445;76.7037;84.9001;73.7925;78.7303;75.4911;73.3576;77.2706;75.24
jul.-19;71.696;77.0688;81.7969;79.9721;74.0599;75.0296;76.6733;85.0842;74.004;79.294;76.3766;74.4979;77.8507;75.81
ago.-19;73.0054;77.1886;81.5699;80.2493;75.3995;75.6571;76.9479;85.3368;74.0208;80.526;76.9735;74.7382;78.1635;76.48
sep.-19;73.4849;77.2539;81.8438;80.4605;75.7135;76.0359;77.9405;85.4769;74.4819;80.5373;77.2068;75.2248;78.4136;76.88
oct.-19;74.51;77.4974;83.9209;80.5636;76.0937;76.7697;78.2003;85.5123;74.8245;80.6619;77.6838;75.641;78.9731;77.46
nov.-19;75.6249;77.7199;83.9009;79.0551;76.3119;77.0003;78.4868;85.9858;75.3024;80.8685;78.4145;76.1579;79.1894;77.78
dic.-19;76.727;77.8257;84.0556;74.6083;76.5862;77.1171;78.9853;86.278;76.0069;81.1975;79.6396;76.0522;79.9122;77.76
ene.-20;76.9947;80.0952;82.941;81.2571;76.7461;77.8256;79.2493;86.6937;81.117;81.9832;80.4029;78.5084;80.7376;79.38
feb.-20;76.9219;83.6049;82.7267;81.4431;78.0443;78.7051;79.4521;87.0957;81.2731;84.738;80.9042;78.7916;81.2216;79.87
mar.-20;78.6014;83.8274;83.1224;81.792;79.4057;79.3829;81.5687;88.3374;82.4969;85.6305;81.2612;79.3485;81.584;80.94
